"Fecha","positivos nuevos por 100,000 personas en los 14 dias anteriores","min","Nivel Azul: Precacion","Nivel Amarillo: Preocupaction","Nivel Anaranjado: Alto Riesgo","Nivel Rojo: Reisgo severo"
"2020-11-24",1230.06392458191,0,75,175,350,1307.54826628785
"2020-11-25",1236.5209530574,0,75,175,350,1307.54826628785
"2020-11-26",1201.00729644218,0,75,175,350,1307.54826628785
"2020-11-27",1165.49363982695,0,75,175,350,1307.54826628785
"2020-11-28",1207.46432491767,0,75,175,350,1307.54826628785
"2020-11-29",1213.92135339317,0,75,175,350,1307.54826628785
"2020-11-30",1268.80609543488,0,75,175,350,1307.54826628785
"2020-12-01",1297.86272357461,0,75,175,350,1307.54826628785
"2020-12-02",1278.49163814812,0,75,175,350,1307.54826628785
"2020-12-03",1307.54826628785,0,75,175,350,1307.54826628785
"2020-12-04",1268.80609543488,0,75,175,350,1307.54826628785
"2020-12-05",1201.00729644218,0,75,175,350,1307.54826628785
"2020-12-06",1210.69283915542,0,75,175,350,1307.54826628785
"2020-12-07",1194.55026796668,0,75,175,350,1307.54826628785
"2020-12-08",1149.35106863821,0,75,175,350,1307.54826628785
"2020-12-09",1042.81009879254,0,75,175,350,1307.54826628785
